epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1551.68,0.6588,0.41013,1.18724,0.94707,0.93565,0.97148,0.80819,0.65539,0.36603,1.23663,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1600.12,0.65037,0.40561,1.18412,0.93922,0.94529,0.97217,0.80766,0.6536,0.36758,1.2278,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1648.33,0.64853,0.40085,1.1814,0.94513,0.94231,0.97613,0.81426,0.65094,0.35889,1.23016,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1696.68,0.64085,0.39621,1.17522,0.94782,0.93527,0.9746,0.81681,0.64128,0.35831,1.21389,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1744.9,0.6354,0.39131,1.17048,0.9493,0.9339,0.9678,0.81557,0.64112,0.36491,1.21459,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1793.28,0.64012,0.39488,1.17578,0.94261,0.93819,0.96777,0.81262,0.65213,0.36062,1.22371,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1841.6,0.63209,0.38586,1.1672,0.94029,0.93756,0.97287,0.81718,0.63696,0.36198,1.21839,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1890.06,0.63179,0.38827,1.17126,0.94343,0.94208,0.97286,0.82049,0.63011,0.35692,1.21063,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1938.27,0.62562,0.38399,1.16067,0.95745,0.92322,0.96967,0.81695,0.63516,0.35304,1.21201,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1986.51,0.62247,0.38058,1.16308,0.94866,0.93661,0.97276,0.8214,0.6313,0.35111,1.21185,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2034.8,0.62214,0.38057,1.1585,0.94675,0.94403,0.97238,0.81819,0.62531,0.34421,1.20431,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2083.06,0.60901,0.37409,1.15113,0.95557,0.93443,0.97108,0.81432,0.63529,0.34607,1.21317,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2131.46,0.61037,0.37327,1.15333,0.9428,0.9461,0.97357,0.81518,0.62981,0.34365,1.21006,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2179.71,0.6041,0.36921,1.14981,0.94496,0.94208,0.9735,0.82205,0.62608,0.33894,1.20755,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2228.01,0.609,0.36848,1.14959,0.95964,0.93738,0.97081,0.82018,0.62591,0.34109,1.20935,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2276.33,0.5977,0.36344,1.14532,0.94369,0.95173,0.96878,0.81893,0.63257,0.34614,1.21531,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2324.61,0.59692,0.36015,1.14278,0.94035,0.95253,0.97054,0.81639,0.62628,0.33825,1.21251,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2372.97,0.59306,0.35853,1.14084,0.94462,0.94449,0.97235,0.82011,0.6224,0.33623,1.20793,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2421.29,0.5873,0.35356,1.13635,0.9583,0.93564,0.97233,0.81935,0.62055,0.33735,1.20552,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2469.49,0.58402,0.35197,1.13381,0.94929,0.94875,0.97566,0.82267,0.62234,0.33747,1.20619,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2518,0.58374,0.35165,1.13388,0.95196,0.94851,0.96997,0.82232,0.62212,0.34046,1.20684,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2566.49,0.57237,0.34403,1.12727,0.95966,0.9377,0.97603,0.82329,0.62151,0.33619,1.20594,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2614.8,0.57308,0.34486,1.12615,0.95386,0.94794,0.97186,0.82275,0.62125,0.33363,1.2048,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
