epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1850.87,0.75738,0.40861,0.01551,0.96241,0.9269,0.97529,0.81737,0.66261,0.32515,0.01883,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1908.52,0.75208,0.40699,0.01537,0.94618,0.9284,0.9756,0.82398,0.64972,0.31956,0.01837,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1966.22,0.74697,0.39456,0.01528,0.93808,0.93851,0.97141,0.81597,0.65652,0.33269,0.01873,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2024.06,0.73849,0.39545,0.01502,0.94402,0.9461,0.97556,0.81825,0.65337,0.32207,0.01842,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2081.87,0.73456,0.39099,0.01495,0.95097,0.9363,0.9759,0.82357,0.64266,0.31521,0.01804,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2139.47,0.74156,0.40062,0.01507,0.93916,0.94383,0.97641,0.82286,0.64846,0.32145,0.01821,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2197.17,0.73135,0.38614,0.01488,0.935,0.94895,0.97204,0.82525,0.6346,0.33342,0.01781,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2254.84,0.73128,0.37953,0.01492,0.94422,0.94047,0.97589,0.82875,0.63462,0.3178,0.01771,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2312.62,0.72568,0.39119,0.01466,0.93699,0.94517,0.97538,0.82728,0.6274,0.31657,0.01747,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2370.67,0.72413,0.37939,0.01475,0.94257,0.94208,0.97148,0.82318,0.64069,0.3195,0.01797,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2428.33,0.72301,0.38121,0.01456,0.93951,0.9461,0.97061,0.82835,0.62763,0.3281,0.01758,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2486.1,0.70303,0.37558,0.01426,0.95261,0.93799,0.97143,0.8282,0.62053,0.32261,0.01726,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2543.57,0.70248,0.37311,0.01422,0.94539,0.93805,0.97675,0.83279,0.62419,0.31664,0.01741,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2601.27,0.69506,0.36499,0.01407,0.94064,0.94851,0.9765,0.82845,0.62935,0.3122,0.01761,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2659.01,0.6951,0.36716,0.01404,0.95161,0.93805,0.9779,0.82989,0.62494,0.31105,0.01765,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2716.8,0.69375,0.35769,0.01408,0.95209,0.94317,0.97259,0.83343,0.6204,0.31544,0.0174,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2774.52,0.68614,0.35432,0.01382,0.94737,0.94137,0.97227,0.83299,0.61848,0.31906,0.01728,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2832.18,0.68117,0.35021,0.01363,0.95659,0.9396,0.97213,0.83475,0.61458,0.30592,0.01716,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2889.95,0.67965,0.34385,0.01361,0.96344,0.93293,0.97632,0.83205,0.62332,0.31644,0.01749,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2947.51,0.66878,0.33709,0.01354,0.95661,0.94013,0.97759,0.83157,0.61836,0.3107,0.01726,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3005.39,0.6662,0.3389,0.01341,0.94847,0.94771,0.97707,0.83484,0.6168,0.31131,0.01719,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3063.2,0.66351,0.33238,0.01341,0.94887,0.94056,0.97324,0.83546,0.6186,0.31551,0.01718,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3120.91,0.6553,0.33179,0.01325,0.957,0.94529,0.98009,0.83649,0.62213,0.31072,0.01725,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3178.67,0.65241,0.33366,0.01306,0.94754,0.95093,0.98107,0.83636,0.62224,0.31257,0.01723,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3236.4,0.64739,0.32247,0.01292,0.95643,0.93966,0.97454,0.83343,0.62319,0.30999,0.01728,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3294.15,0.64071,0.31597,0.01283,0.95616,0.94047,0.97542,0.83492,0.61439,0.30856,0.01706,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3351.77,0.63843,0.31636,0.01273,0.96108,0.93966,0.97594,0.83737,0.6137,0.30637,0.017,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3409.34,0.63327,0.31329,0.01266,0.95463,0.94802,0.97611,0.83761,0.61238,0.30159,0.01695,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3466.92,0.63179,0.32042,0.01262,0.94712,0.94851,0.97534,0.8375,0.60799,0.31445,0.01686,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3524.62,0.62392,0.30919,0.01249,0.94752,0.95093,0.97561,0.83806,0.60615,0.31057,0.01679,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3582.42,0.62263,0.30924,0.01238,0.94924,0.95253,0.97563,0.83922,0.60248,0.31421,0.01668,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3640.19,0.62291,0.30904,0.01233,0.94867,0.95165,0.97584,0.83916,0.60409,0.31426,0.01669,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3697.97,0.61247,0.30433,0.01211,0.9458,0.95093,0.97526,0.83694,0.6046,0.32146,0.01678,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3755.68,0.60557,0.30285,0.012,0.95503,0.94127,0.97499,0.83552,0.60113,0.3219,0.01666,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3813.34,0.60271,0.30047,0.0119,0.95667,0.93966,0.975,0.83687,0.59901,0.31908,0.01658,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3871.19,0.59511,0.29509,0.01178,0.95784,0.94127,0.97493,0.83779,0.5987,0.31481,0.01654,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3928.76,0.58654,0.29229,0.01163,0.93933,0.95817,0.97517,0.83775,0.59988,0.31142,0.01657,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3986.49,0.58499,0.29149,0.01154,0.95284,0.94368,0.97484,0.83651,0.60183,0.31675,0.01662,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4044.2,0.5847,0.28981,0.01151,0.95513,0.94197,0.97579,0.83983,0.60116,0.31477,0.01661,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4101.88,0.58389,0.29096,0.01156,0.95637,0.94127,0.97468,0.83836,0.60182,0.31513,0.0166,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4159.6,0.57417,0.28673,0.01133,0.95796,0.94127,0.97431,0.83693,0.60006,0.31777,0.01655,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4217.31,0.56905,0.28085,0.01119,0.95753,0.94311,0.97488,0.8381,0.59989,0.31853,0.01655,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4274.92,0.56325,0.27648,0.01101,0.95534,0.94851,0.97411,0.83917,0.59941,0.32152,0.01654,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4332.53,0.56229,0.27281,0.01104,0.95633,0.94127,0.97376,0.83793,0.59806,0.32405,0.01651,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4390.17,0.55218,0.27115,0.01083,0.95942,0.94127,0.97323,0.83703,0.59854,0.32626,0.01652,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4447.87,0.54863,0.27041,0.01079,0.95523,0.94127,0.97241,0.83643,0.59619,0.33361,0.01647,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4505.48,0.54266,0.26376,0.01061,0.94969,0.94127,0.97276,0.83803,0.59605,0.33213,0.01644,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4563.26,0.53809,0.2656,0.0105,0.9557,0.93729,0.97278,0.83688,0.59657,0.33155,0.01645,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4620.96,0.53349,0.26297,0.01047,0.95739,0.94006,0.97346,0.83662,0.59728,0.32971,0.01647,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4678.8,0.534,0.25633,0.01044,0.9567,0.94209,0.97367,0.83752,0.5977,0.32897,0.01648,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4736.57,0.52172,0.25144,0.01022,0.95792,0.94368,0.97368,0.83644,0.59716,0.32985,0.01647,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4794.37,0.5204,0.24642,0.01016,0.95961,0.94047,0.97365,0.83661,0.59678,0.33044,0.01647,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4852.13,0.52075,0.25185,0.01009,0.95989,0.94047,0.972,0.83626,0.59581,0.3362,0.01643,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4909.96,0.51681,0.2465,0.01015,0.95941,0.94047,0.97286,0.83807,0.59526,0.33218,0.01642,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4967.89,0.50757,0.2437,0.00986,0.96141,0.93966,0.97242,0.83723,0.59367,0.33811,0.01637,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5025.65,0.50407,0.24605,0.00984,0.96131,0.93941,0.97251,0.83626,0.59463,0.33876,0.0164,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5083.36,0.4997,0.24388,0.00975,0.95409,0.94208,0.97262,0.83718,0.59487,0.33763,0.0164,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5141.14,0.49687,0.23927,0.00974,0.95635,0.94127,0.97217,0.83602,0.59485,0.33943,0.01638,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5198.75,0.49568,0.2395,0.00969,0.95896,0.93984,0.97231,0.836,0.59484,0.33898,0.01639,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
